Item,Supplier,Price,URL
Oled Display,Aliexpress,€5.80,https://nl.aliexpress.com/item/1005006141235306.html?spm=a2g0o.productlist.main.1.589fNjnUNjnU0L&algo_pvid=f5345a05-ac1b-40e6-9d49-7edef5ed9b33&pdp_ext_f=%7B%22order%22%3A%2227800%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006141235306%7C_p_origin_prod%3A
esp32,Aliexpress,€9.59,https://nl.aliexpress.com/item/1005005655238798.html?spm=a2g0o.productlist.main.7.119e1b32Qfrl4O&algo_pvid=ef68948c-ef76-43d4-ada4-250b9a5fbd90&pdp_ext_f=%7B%22order%22%3A%223144%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005655238798%7C_p_origin_prod%3A
Temperature Sensor,Aliexpress,€4.99,https://nl.aliexpress.com/item/1005005274989295.html?spm=a2g0o.productlist.main.2.70b07610APTVtX&algo_pvid=e7665457-a969-4abd-9ecb-615794c71ab6&pdp_ext_f=%7B%22order%22%3A%221545%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005274989295%7C_p_origin_prod%3A
Breadboard;Wires;Power-Supply,Alexpress,€7.69,https://nl.aliexpress.com/item/1005006143786009.html?spm=a2g0o.productlist.main.1.296elctGlctGEL&algo_pvid=ebe66bf4-b9e5-48f4-a77d-359ccd7eca51&pdp_ext_f=%7B%22order%22%3A%225618%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006143786009%7C_p_origin_prod%3A
Battery,Aliexpress,€10.29,https://nl.aliexpress.com/item/1005010009125487.html?spm=a2g0o.productlist.main.2.1fd92a60AivWZ2&algo_pvid=174a938d-d024-4492-963a-f445b8b664b5&pdp_ext_f=%7B%22order%22%3A%222535%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010009125487%7C_p_origin_prod%3A
Total,,€38.36,
